0,1,2,3,4
33.1266258,-117.3274251,-19.32,1.437,1.45
33.1266267,-117.3274256,-19.276,1.454,1.44
33.1266272,-117.3274261,-19.298,1.44,1.45
33.1266279,-117.3274265,-19.343,1.446,1.44
33.1266287,-117.3274267,-19.348,1.432,1.45
33.1266295,-117.3274271,-19.393,1.433,1.43
33.1266301,-117.3274276,-19.428,1.46,1.43
33.1266309,-117.3274279,-19.43,1.488,1.46
33.1266316,-117.3274283,-19.423,1.497,1.49
33.1266323,-117.3274287,-19.455,1.488,1.5
33.1266331,-117.3274291,-19.486,1.452,1.49
33.1266334,-117.3274294,-19.513,1.396,1.45
33.1266339,-117.3274298,-19.523,1.354,1.4
33.1266345,-117.3274303,-19.525,1.336,1.35
33.1266352,-117.3274306,-19.558,1.348,1.34
33.1266358,-117.3274309,-19.583,1.352,1.35
33.1266369,-117.3274313,-19.546,1.409,1.35
33.1266379,-117.3274319,-19.508,1.473,1.41
33.1266386,-117.3274324,-19.511,1.484,1.47
33.1266393,-117.3274327,-19.528,1.466,1.48
33.1266399,-117.327433,-19.538,1.464,1.47
33.1266404,-117.3274333,-19.548,1.435,1.46
33.1266412,-117.3274338,-19.579,1.44,1.44
33.1266418,-117.3274342,-19.572,1.418,1.44
33.1266421,-117.3274345,-19.566,1.372,1.42
33.1266427,-117.3274349,-19.532,1.386,1.37
33.1266436,-117.3274354,-19.518,1.445,1.39
33.1266445,-117.3274356,-19.499,1.492,1.45
33.1266454,-117.3274359,-19.462,1.511,1.49
33.126646,-117.3274363,-19.465,1.516,1.51
33.1266463,-117.3274366,-19.494,1.473,1.52
33.1266465,-117.3274368,-19.505,1.403,1.47
33.1266475,-117.3274372,-19.462,1.416,1.4
33.1266485,-117.3274375,-19.371,1.421,1.42
33.1266489,-117.3274379,-19.323,1.395,1.42
33.1266492,-117.327438,-19.33,1.357,1.4
33.1266495,-117.3274381,-19.357,1.322,1.36
33.1266504,-117.3274383,-19.356,1.363,1.32
33.1266512,-117.3274384,-19.327,1.39,1.36
33.1266515,-117.3274386,-19.342,1.343,1.39
33.1266518,-117.3274388,-19.354,1.294,1.34
33.1266522,-117.3274387,-19.351,1.241,1.29
33.1266527,-117.3274387,-19.339,1.196,1.24
33.1266532,-117.3274386,-19.322,1.173,1.2
33.1266537,-117.3274385,-19.303,1.145,1.17
